# Disabled from AUTO_BLOCK_TBL_VISIBLE_NAMES_20260604 on 2026-06-07.
# Reason: ordinary equipment template TBL patches caused blank tooltip titles in game.
# Restore only after in-game A/B testing.
tbl0.pak	0x01275AD1	Natsu Dogi	纳兹时装
tbl0.pak	0x01275C4D	Tanjiro Dogi	炭治郎时装
tbl0.pak	0x01275F45	Aqua Dogi	阿库娅时装
tbl0.pak	0x012760C1	Darkness Dogi	达克妮斯时装
tbl0.pak	0x012766B1	AOT Dogi	进击巨人时装
tbl0.pak	0x0127EF41	VIP Capsule Dogi	VIP胶囊时装
tbl0.pak	0x0135C201	Refurbished Saiyan Armor (Namek)	翻新赛亚人盔甲(那美克)
tbl0.pak	0x0135C37D	Bardock Armor Controlled	巴达克盔甲受控
tbl0.pak	0x0135C675	Saiyan Prince Armor(Vegeta)	赛亚人王子盔甲(贝吉塔)
tbl0.pak	0x0135C96D	Broly Battle Armor	布罗利战斗盔甲
tbl0.pak	0x0135CAE9	Xeno Vegeta Armor	异次元贝吉塔盔甲
tbl0.pak	0x0135CF5D	King Vegeta Armor	王贝吉塔盔甲
tbl0.pak	0x0136E07D	GM Armor Upgrade Stone U75	GM防具升级石U75
tbl0.pak	0x0136FFA9	Custom Dogi	定制时装
tbl0.pak	0x01371A61	Dogi Preview	时装预览
tbl0.pak	0x013727BD	Lower Rank Dogi Stone	低级时装石
tbl0.pak	0x01372939	Upper Rank Dogi Stone	高级时装石
tbl0.pak	0x013B015D	Downgrade Armor 85	降级盔甲85
tbl1.pak	0x016C311E	Gloves	手套
tbl1.pak	0x018218DE	Red Pants Military Gloves	红裤军军用手套
tbl1.pak	0x01822506	Old Shoes	老旧鞋子
tbl1.pak	0x0182493A	Basic Shoes	基础鞋子
tbl1.pak	0x01826972	Red Pants Army Key	红裤军钥匙
tbl1.pak	0x01829802	Red Army Combat Pants	红色军战斗裤子
tbl1.pak	0x0182C40C	Practitioner's Gloves	修行者的手套
tbl1.pak	0x0182C43C	Practitioner's Shoes	修行者的鞋子
tbl1.pak	0x012EE5BF	Lightning Gloves	闪电手套
tbl1.pak	0x012EEC73	Wolf Gloves	狼手套
tbl1.pak	0x012F6B23	Warrior Pants	那美克战士裤子
tbl1.pak	0x012F74A9	Evil Top	邪恶上衣
tbl1.pak	0x012F7573	Evil Pants	邪恶裤子
tbl1.pak	0x012F7643	Evil Shoes	邪恶鞋子
tbl1.pak	0x012F799D	Legend Top	传说上衣
tbl1.pak	0x012F7FFF	Saibaman Rubber Pants	栽培人橡胶裤子
tbl1.pak	0x012F9043	Red Dragon Pants	红色龙裤子
tbl1.pak	0x012F90E9	Green Dragon Shoes	绿色龙鞋子
tbl1.pak	0x012F91AB	Narak Dark Power Top	那拉克黑暗力量上衣
tbl1.pak	0x012F92F1	Narak Dark Power Pants	那拉克黑暗力量裤子
tbl1.pak	0x012F943B	Narak Dark Power Shoes	那拉克黑暗力量鞋子
tbl1.pak	0x012F9DEF	]Suit from Dragon Clan usually for training,\nwith spoor by bitten by insects top from bottom.	]Suit from 那美克龙族 usually for training,\nwith spoor by bitten by insects top from bottom.
tbl1.pak	0x012F9F05	Guz Dragon Clan Pants	Guz 那美克龙族 Pants
tbl1.pak	0x012FA05B	Cowry Dragon Clan Shoes	Cowry 那美克龙族 Shoes
tbl1.pak	0x012FA167	Paython Dragon Clan Suit	Paython 那美克龙族 Suit
tbl1.pak	0x012FAB25	Green Leather Pants	绿色皮革裤子
tbl1.pak	0x012FB4C5	Noble Dragon Clan Suit	贵族龙族套装
tbl1.pak	0x012FBC4F	Paella Shoes	皮拉夫鞋子
tbl1.pak	0x012FC1FD	Dragon Clan Enchanter Shoes	那美克龙族 Enchanter Shoes
tbl1.pak	0x012FC301	Battle Dragon Top	战斗龙上衣
tbl1.pak	0x012FC3A1	Battle Dragon Pants	战斗龙裤子
tbl1.pak	0x012FC445	Battle Dragon Shoes	战斗龙鞋子
