file	id	source_text	translation
tbl0.pak	0x000018E3	BH!?C	
tbl0.pak	0x000050AD	C33CA	
tbl0.pak	0x000053F5	C33BB	
tbl0.pak	0x00006E8E	B84R?	
tbl0.pak	0x00034656	G&BR8	
tbl0.pak	0x000346FD	33!B3S	
tbl0.pak	0x0003917D	HQ8D''G?	
tbl0.pak	0x00041220	D84R?	
tbl0.pak	0x00096A1F	C84R?	
tbl0.pak	0x00098505	Q8Afgi	
tbl0.pak	0x000B8F0E	C33+B	
tbl0.pak	0x000EA978	2E33Q	
tbl0.pak	0x000EA9CC	2E33G	
tbl0.pak	0x000EB59B	K9E33K	
tbl0.pak	0x001D2008	OE33J	
tbl0.pak	0x001D3070	YE33H	
tbl0.pak	0x001E5184	JE33H	
tbl0.pak	0x001E5424	JE33N	
tbl0.pak	0x001E5C04	HE33S	
tbl0.pak	0x001E5CAC	LE33O	
tbl0.pak	0x001E6AC8	PE33G	
tbl0.pak	0x00249AA3	X:ER8	
tbl0.pak	0x0027625E	Rx+C8	
tbl0.pak	0x0028E826	R8YCR	
tbl0.pak	0x002E33F7	W.C33	
tbl0.pak	0x0030F189	E84R?	
tbl0.pak	0x0031038B	W1E33C	
tbl0.pak	0x0031F16F	Q&E33	
tbl0.pak	0x0032693B	M.E84R	
tbl0.pak	0x003388AB	S:Efgi	
tbl0.pak	0x00340A48	IE84R	
tbl0.pak	0x0034A774	AE84R?	
tbl0.pak	0x00353A20	VE84R?	
tbl0.pak	0x0035540C	QE84R?	
tbl0.pak	0x0036428E	RP/ER	
tbl0.pak	0x0038B6EA	R0XE3	
tbl0.pak	0x003926CE	H%iER	
tbl0.pak	0x00397246	HM&ER	
tbl0.pak	0x0077B6A9	A33?A	
tbl0.pak	0x0077B949	Aff:A	
tbl0.pak	0x00780AFF	H!-CD	
tbl0.pak	0x0078142E	A33/A	
tbl0.pak	0x007815D3	R8.Cc	
tbl0.pak	0x00782A2C	Q4A84R	
tbl0.pak	0x007A9BE8	D33/B	
tbl0.pak	0x007B024C	Bf6?D	
tbl0.pak	0x007B1554	Bf& D	
tbl0.pak	0x007C01E3	3S1DR	
tbl0.pak	0x007CC8C8	5VD84R?	
tbl0.pak	0x007E634E	CH!IC	
tbl0.pak	0x007E82CE	C33'CL	
tbl0.pak	0x007EEBD0	Cf&HC	
tbl0.pak	0x007F4AFA	C33MB	
tbl0.pak	0x007F9F9E	HQ.D33	
tbl0.pak	0x007FA33A	Rx.D33	
tbl0.pak	0x0082B76F	RxxDff	
tbl0.pak	0x008318E4	T D33C	
tbl0.pak	0x00837AB5	GD84R?	
tbl0.pak	0x00842BF4	BD+DC	
tbl0.pak	0x00848F14	H58E3	
tbl0.pak	0x008538BB	D331Bf	
tbl0.pak	0x008546D4	Hq-DR	
tbl0.pak	0x0085B665	X6E33	
tbl0.pak	0x0085D101	0EE84R	
tbl0.pak	0x0085D4F2	CE84R	
tbl0.pak	0x00874D6E	D33SAR	
tbl0.pak	0x008E27F3	3C-DR8	
tbl0.pak	0x0090C401	ME33G	
tbl0.pak	0x0090E278	1YE33I	
tbl0.pak	0x00922EBB	He&ER8	
tbl0.pak	0x0093C23E	D33GB	
tbl0.pak	0x00959CEA	Eq!UE	
tbl0.pak	0x00965067	AO3?F	
tbl0.pak	0x0098F6BF	3S5DH	
tbl0.pak	0x009C6845	FE33Q	
tbl0.pak	0x009F1F58	H:E33	
tbl0.pak	0x009F9604	F E33Y	
tbl0.pak	0x00A1298D	XE33L	
tbl0.pak	0x00A4C078	E+Cffu	
tbl0.pak	0x00C67262	A33MB	
tbl0.pak	0x00C88A0E	BR8,D	
tbl0.pak	0x00C9412E	D33KA	
tbl0.pak	0x00C947EA	C33KA	
tbl0.pak	0x00C947F6	D33KA3	
tbl0.pak	0x00C9FBAF	RH0D33	
tbl0.pak	0x00CA0C9C	RX6DR	
tbl0.pak	0x00CB5FC2	K.D33	
tbl0.pak	0x00CD3051	3S6D33	
tbl0.pak	0x00CD632C	D33VB	
tbl0.pak	0x00D5602C	MobGroup1	
tbl0.pak	0x00D5615C	TrunksSpawn	
tbl0.pak	0x00D5628C	LastTutorial	
tbl0.pak	0x00D5697E	MQ1-1 Age	
tbl0.pak	0x00D5800E	LQ1 Pre	
tbl0.pak	0x00D58F7E	LQ3 Pre	
tbl0.pak	0x00D59572	Ending	
tbl0.pak	0x00D598FD	Cui Towa	
tbl0.pak	0x00D59A2D	Vegeta, Dodoria Towa	
tbl0.pak	0x00D59B5D	Vegeta	
tbl0.pak	0x00D59B66	Zarbon	
tbl0.pak	0x00D59C8D	Krillin, Bluma Vegeta	
tbl0.pak	0x00D59DBD	Time Machine Bardock	
tbl0.pak	0x00D59EED	Ginyu Special Ops	
tbl0.pak	0x00D5A01D	Vegeta, Krillin, Gohan Recoome	
tbl0.pak	0x00D5A14D	Trunks	
tbl0.pak	0x00D5A3AD	Time Breaker, Trunks and Bardock	
tbl0.pak	0x00D5A73E	MQ 2-1 Pre	
tbl0.pak	0x00D5B6DF	Battle001	
tbl0.pak	0x00D5CC1B	Animation	
tbl0.pak	0x00D5CFAB	Animation 2	
tbl0.pak	0x00D5D32E	WC Challenge	
tbl0.pak	0x00D5D58D	Please Wait	
tbl0.pak	0x00D5D7ED	Failed	
tbl0.pak	0x00D5E50C	Stage3 Direction	
